iter	Logloss
0	0.6930733586
1	0.6930146697
2	0.6929531572
3	0.6928930054
4	0.6928433311
5	0.6927821691
6	0.6927191194
7	0.6926545478
8	0.6925890024
9	0.6925310772
10	0.6924691494
11	0.6924087272
12	0.6923483725
13	0.6922935603
14	0.6922254451
15	0.6921662679
16	0.6921020277
17	0.6920553829
18	0.692010853
19	0.6919557106
20	0.6919097688
21	0.6918651332
22	0.6918092796
23	0.6917544888
24	0.6917103397
25	0.6916616279
26	0.6916075387
27	0.6915595858
28	0.691517817
29	0.6914718799
30	0.6914290306
31	0.6913807988
32	0.6913361477
33	0.6912864279
34	0.6912423813
35	0.6912032331
36	0.6911631156
37	0.6911221362
38	0.691069307
39	0.6910245387
40	0.6909778976
41	0.6909305269
42	0.6908874358
43	0.6908391726
44	0.690792609
45	0.6907467566
46	0.6907028379
47	0.690656646
48	0.6906190108
49	0.6905775489
50	0.6905384359
51	0.6904927429
52	0.6904537075
53	0.6904215425
54	0.6903859224
55	0.6903400906
56	0.6903110128
57	0.6902728534
58	0.690240963
59	0.6902086409
60	0.6901785509
61	0.6901436461
62	0.6901127368
63	0.6900837142
64	0.6900446538
65	0.6900067068
66	0.6899711206
67	0.6899447312
68	0.6899135135
69	0.6898793797
70	0.6898483878
71	0.6898121787
72	0.6897739922
73	0.6897402085
74	0.6897166412
75	0.6896833504
76	0.6896524818
77	0.689620359
78	0.6895926168
79	0.6895657732
80	0.6895305809
81	0.689497816
82	0.6894730443
83	0.6894406203
84	0.6894087973
85	0.6893840842
86	0.6893523822
87	0.6893262102
88	0.6892900345
89	0.6892578244
90	0.6892303839
91	0.6892019534
92	0.6891767597
93	0.6891501181
94	0.6891233217
95	0.6890964476
96	0.6890682202
97	0.689042728
98	0.6890110532
99	0.6889856195
100	0.6889626814
101	0.6889291087
102	0.6889069256
103	0.6888805659
104	0.6888612993
105	0.6888340691
106	0.6888086063
107	0.6887825821
108	0.6887564769
109	0.6887358803
110	0.6887118707
111	0.6886849139
112	0.6886559568
113	0.6886323412
114	0.6886057022
115	0.6885834686
116	0.6885604677
117	0.6885351498
118	0.6885032546
119	0.6884822019
120	0.6884577376
121	0.6884351864
122	0.6884086921
123	0.6883857005
124	0.6883646173
125	0.688345584
126	0.6883223516
127	0.6882939686
128	0.6882736091
129	0.6882522224
130	0.6882273489
131	0.6882078301
132	0.6881850751
133	0.6881605435
134	0.6881430014
135	0.6881239436
136	0.6880996563
137	0.688083747
138	0.6880567398
139	0.6880360915
140	0.6880155226
141	0.6879939951
142	0.687970319
143	0.6879535233
144	0.6879260274
145	0.6879072892
146	0.6878832951
147	0.687859152
148	0.6878365581
149	0.6878188891
150	0.687803994
151	0.6877827556
152	0.6877613578
153	0.6877399535
154	0.6877179743
155	0.6876954319
156	0.6876763838
157	0.6876574315
158	0.6876356898
159	0.6876207331
160	0.6876008253
161	0.6875761695
162	0.6875550239
163	0.6875326275
164	0.6875093205
165	0.6874886442
166	0.6874701996
167	0.6874476248
168	0.6874274613
169	0.6874063983
170	0.6873880307
171	0.6873693343
172	0.6873453377
173	0.6873240741
174	0.6873038481
175	0.6872875282
176	0.6872628654
177	0.6872457408
178	0.6872303162
179	0.6872064266
180	0.6871879143
181	0.6871701804
182	0.6871537936
183	0.687133367
184	0.6871157063
185	0.6870973044
186	0.6870849699
187	0.6870668508
188	0.6870450683
189	0.6870263602
190	0.6870089851
191	0.6869893625
192	0.6869735515
193	0.6869553933
194	0.6869326929
195	0.6869126592
196	0.6868983231
197	0.6868795974
198	0.6868625077
199	0.6868477975
200	0.6868286233
201	0.6868184435
202	0.6868001736
203	0.6867859556
204	0.6867703473
205	0.6867489559
206	0.6867278716
207	0.6867120595
208	0.6866953387
209	0.6866803828
210	0.6866667175
211	0.6866534279
212	0.6866362231
213	0.686621133
214	0.6865938197
215	0.6865757613
216	0.6865610012
217	0.6865456234
218	0.686528008
219	0.6865125565
220	0.6864918399
221	0.6864779461
222	0.6864614182
223	0.6864455762
224	0.686428697
225	0.6864105055
226	0.6863932263
227	0.6863689513
228	0.686353146
229	0.6863373557
230	0.6863279613
231	0.6863112694
232	0.6863012036
233	0.6862817395
234	0.6862638832
